,Year,Country_Code,Country_Name,Population_Density,People_Near_Rapid_Transit,Transit_Legend
2384,2009,DEU,Germany,7845.474687309588,0.4099209673386524,0.4099209673386524
2385,2010,DEU,Germany,7846.48684020997,0.410073334157419,0.410073334157419
2386,2011,DEU,Germany,7860.900822628726,0.404740902759537,0.404740902759537
2387,2012,DEU,Germany,7875.314805047482,0.3994084713616549,0.3994084713616549
2388,2013,DEU,Germany,7889.728787466238,0.394076039963773,0.394076039963773
2389,2014,DEU,Germany,7904.142769884994,0.3887436085658909,0.3887436085658909
2390,2015,DEU,Germany,7918.55675230375,0.383411177168009,0.383411177168009
2391,2016,DEU,Germany,8002.772738360348,0.3840629197372138,0.3840629197372138
2392,2017,DEU,Germany,8086.988724416946,0.3847146623064186,0.3847146623064186
2393,2018,DEU,Germany,8171.204710473545,0.3853664048756234,0.3853664048756234
2394,2019,DEU,Germany,8255.420696530142,0.3860181474448282,0.3860181474448282
2395,2020,DEU,Germany,8339.63668258674,0.386669890014033,0.386669890014033
2396,2021,DEU,Germany,8363.393812053646,0.385855211802527,0.385855211802527
2397,2022,DEU,Germany,8387.150941520551,0.385040533591021,0.385040533591021
2398,2023,DEU,Germany,8410.908070987454,0.384225855379515,0.384225855379515
2399,2024,DEU,Germany,8434.66520045436,0.383411177168009,0.383411177168009
4600,1975,NOR,Norway,7321.26744464507,0.764759010625019,0.764759010625019
4601,1976,NOR,Norway,7219.103655504476,0.768806960724504,0.768806960724504
4602,1977,NOR,Norway,7116.939866363882,0.772854910823989,0.772854910823989
4603,1978,NOR,Norway,7014.776077223288,0.776902860923474,0.776902860923474
4604,1979,NOR,Norway,6912.612288082694,0.780950811022959,0.780950811022959
4605,1980,NOR,Norway,6810.4484989421,0.784998761122444,0.784998761122444
4606,1981,NOR,Norway,6772.69532315303,0.7824171795110922,0.7824171795110922
4607,1982,NOR,Norway,6734.94214736396,0.7798355978997404,0.7798355978997404
4608,1983,NOR,Norway,6697.18897157489,0.7772540162883886,0.7772540162883886
4609,1984,NOR,Norway,6659.43579578582,0.7746724346770368,0.7746724346770368
4610,1985,NOR,Norway,6621.68261999675,0.772090853065685,0.772090853065685
4611,1986,NOR,Norway,6602.763928582686,0.7670177542896944,0.7670177542896944
4612,1987,NOR,Norway,6583.845237168622,0.7619446555137038,0.7619446555137038
4613,1988,NOR,Norway,6564.926545754558,0.7568715567377132,0.7568715567377132
4614,1989,NOR,Norway,6546.007854340493,0.7517984579617226,0.7517984579617226
4615,1990,NOR,Norway,6527.08916292643,0.746725359185732,0.746725359185732
